級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,21382,6349115,104931,135043,4861443,329198,112442,10061,10847,371868
0 - 54,15153,9433985,82497,177087,7911960,226534,141548,12445,13543,431496
54 - 121,3204,4470998,38466,113795,3509618,99487,74177,12448,4658,349243
121 - 242,921,2134578,24364,47107,1526610,39918,49413,3656,5376,265156
242 - 453,206,882521,17777,23686,514500,13629,17933,549,626,222310
453 - 500,17,95297,243,700,63242,314,917,316,14,21681
500 - 1000,37,300388,18023,6473,159420,3245,6362,62,371,71921
1000 以上,7,116325,40,32,50947,484,57,0,10,23141
合 計,40927,23783209,286341,503924,18597739,712809,402849,39537,35446,1756816
