級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,72282,23352119,249215,468500,16893494,1113354,396256,31658,32251,2681711
0 - 54,48295,31984189,168512,624898,25531775,869820,447829,45535,40061,2656573
54 - 121,10951,15635547,107810,331885,11584182,346834,250160,28888,21722,1866504
121 - 242,3866,9367024,57784,231593,6244212,183218,179737,14704,10750,1562316
242 - 453,1003,4067471,38276,94539,2257553,72054,97992,15808,7691,1000670
453 - 500,62,360761,6831,6510,214703,3748,3368,2165,5119,79053
500 - 1000,202,1596054,14055,42981,725611,19264,49453,2290,882,570083
1000 以上,29,671042,34,43,230998,3547,31213,0,16,286304
合 計,136690,87034208,642516,1800949,63682527,2611838,1456009,141049,118492,10703215
