級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,51941,15896662,191247,309119,11792008,750438,248642,21768,24335,1582730
0 - 54,34464,22152822,149373,375004,18137840,562427,264924,24451,28276,1650103
54 - 121,7246,10194227,99071,214540,7691552,215775,147866,11162,13739,1165295
121 - 242,2374,5703145,66740,132385,3953107,101777,115455,10887,12260,880778
242 - 453,632,2592879,48123,66594,1665345,43118,53075,3272,3410,514765
453 - 500,43,250189,285,3002,169353,3007,4656,205,246,63710
500 - 1000,127,996970,9942,8276,600469,17176,15837,217,429,276926
1000 以上,12,181979,155,42257,83507,590,1183,0,50,26208
合 計,96839,57968873,564936,1151177,44093181,1694309,851638,71963,82746,6160517
