級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,394313,120857453,1112159,2778531,80741711,6293831,3573326,387072,211635,18722882
0 - 54,254767,169893008,729854,4241874,127186952,4734411,4733668,522717,270786,19339404
54 - 121,74112,108006459,368572,3096579,75536817,2556345,3445213,486489,159974,16207424
121 - 242,34137,85206194,278849,2325891,56076334,1730338,3068691,466630,123425,15668927
242 - 453,12791,55123633,143401,1254612,33130246,950485,2122850,322854,65763,13374409
453 - 500,1024,6139087,12391,147682,3723070,112449,189968,47074,4119,1502679
500 - 1000,3379,28860699,94920,450525,15174922,431924,915809,173577,19721,9417555
1000 以上,623,20052158,106775,202833,7914396,158280,233545,122529,1844,9075141
合 計,775146,594138692,2846920,14498526,399484448,16968063,18283070,2528942,857267,103308421
