級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,52068,14382247,150054,314523,11121231,762475,309991,39590,24792,1097683
0 - 54,40351,25045535,102828,521347,21078612,596525,393477,41687,39259,1522153
54 - 121,9971,13821863,46313,318923,11225955,306209,260379,31659,20482,1122562
121 - 242,3635,8548855,25393,188044,6816790,158254,154965,33919,15753,820754
242 - 453,994,4010994,12591,88244,2916361,59836,70645,6500,5903,577564
453 - 500,89,500495,54,25861,313340,14127,15336,360,623,90432
500 - 1000,196,1489185,4689,18588,975343,18821,30907,2735,887,264154
1000 以上,22,502095,5,61,290692,2304,1559,241,326,38062
合 計,107326,68301270,341927,1475592,54738324,1918551,1237258,156690,108024,5533363
