級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,18500,6027351,122857,127101,4444834,453330,98148,13868,11544,488388
0 - 54,18048,12146776,97490,208511,10198956,407336,130519,19951,20173,708707
54 - 121,4658,6634736,43067,136440,5407014,184697,82796,13447,10982,517189
121 - 242,1749,4266570,24870,102930,3399510,101439,56927,10712,6856,386855
242 - 453,471,1980725,10763,54989,1417644,35054,30353,7239,2245,305265
453 - 500,31,184355,334,694,148093,2265,2464,151,492,14417
500 - 1000,87,662763,1122,9373,488750,7437,3469,2798,413,88159
1000 以上,14,300025,109,125,151972,1173,1016,0,23,31386
合 計,43558,32203302,300612,640165,25656773,1192731,405692,68166,52727,2540367
