級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,335790,117801215,1223645,2618232,55181891,9703576,5224973,597024,158386,40372930
0 - 54,278752,194280704,984797,4663084,136811828,8003932,9037070,868996,317608,28848789
54 - 121,117318,174271726,664259,3873596,124147017,5228601,7740665,776888,255880,27490448
121 - 242,70216,181567977,504219,3781557,124842898,4347353,7823190,830057,230668,34593815
242 - 453,34944,161870377,446088,3074488,101111625,2891691,6677278,711579,150342,41619541
453 - 500,3534,22667275,81436,456551,13729749,363893,891685,123184,12245,6206997
500 - 1000,12524,114539184,351582,2606553,64675202,1509690,4306828,606993,71117,34695890
1000 以上,3883,127791383,1960562,5338451,57144756,1386323,2847592,693488,26498,47455168
合 計,856961,1094789841,6216588,26412513,677644966,33435059,44549281,5208209,1222744,261283578
