級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,59792,17934138,250413,424366,13341959,911847,355299,49856,29623,1417202
0 - 54,39443,25177594,198635,559562,20371152,644949,409828,63113,37378,1764205
54 - 121,8965,12751141,112694,384278,9620783,282869,245212,33087,17965,1315330
121 - 242,3213,7720950,76773,197093,5466306,158429,195608,27567,15339,1096879
242 - 453,890,3701346,33928,157820,2408323,61421,107171,11093,4839,652005
453 - 500,62,374877,10899,5488,212104,4946,10277,1725,85,103049
500 - 1000,179,1542649,6999,16442,812215,22464,63799,3283,1057,499659
1000 以上,30,743583,99233,15289,248328,4831,1783,58518,215,268477
合 計,112574,69946279,789575,1760338,52481169,2091756,1388975,248242,106500,7116805
