級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,50953,16429478,193227,274318,10453417,1032527,463380,59888,30426,3201115
0 - 54,43466,30503871,171779,475849,23844874,851019,666357,88646,57937,3272239
54 - 121,17877,26827625,110096,433428,21477109,559842,493198,87564,53824,2543819
121 - 242,13107,33843087,100184,378534,27436656,569230,479708,157834,58094,3304783
242 - 453,7797,34297280,68400,271950,27107599,440174,393134,183767,50656,4274958
453 - 500,778,4627254,9028,19369,3655841,51477,47540,40867,4376,544951
500 - 1000,2689,22167108,45968,107638,16861954,237664,168048,90130,24579,2840275
1000 以上,741,17904540,29336,88022,10472748,97461,66185,127845,4668,4550866
合 計,137408,186600243,728018,2049108,141310197,3839395,2777551,836541,284561,24533005
