級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,237523,74072152,762049,1473045,52543061,3799256,1411449,157091,123931,9334925
0 - 54,165124,108618303,563971,2243178,84820694,2936942,1832290,196379,163953,10837280
54 - 121,45810,66028502,325777,1500839,49024435,1495719,1253042,178855,100290,8548750
121 - 242,20744,51698704,262686,1035528,36748036,943071,990135,172499,80466,8295433
242 - 453,7538,32194956,171018,594284,21345882,495056,731572,114115,47112,6695344
453 - 500,566,3507648,38249,54553,2135758,47612,83662,17924,6109,906626
500 - 1000,1783,15043254,61655,208531,8572945,172954,310391,77255,8680,4602459
1000 以上,324,8248784,57572,225878,3760827,42441,67044,67932,648,3238377
合 計,479412,359412304,2242976,7335835,258951639,9933050,6679585,982051,531189,52459194
