級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,39269,11368794,187324,313029,8443573,626144,246008,25356,19075,811902
0 - 54,27193,17062554,134647,535428,13888920,431444,297508,24861,21219,988695
54 - 121,5926,8227347,79902,351364,6217865,190962,158974,15119,10286,781082
121 - 242,1936,4564858,49063,206527,3182837,103565,117895,12879,5816,568001
242 - 453,540,2248206,40404,145482,1424508,40807,52860,8054,2374,376389
453 - 500,27,154569,2731,8863,89897,3089,4672,1202,92,35646
500 - 1000,114,842213,27924,42800,525617,10079,34256,2438,264,142836
1000 以上,12,188178,13646,11,105251,2918,5026,0,8,30418
合 計,75017,44656719,535640,1603505,33878468,1409009,917200,89910,59132,3734969
