級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,66262,21309942,181660,321522,16197736,893360,477392,60816,40009,2153256
0 - 54,58380,40135076,142182,611640,33323206,794614,738416,84784,79776,2830826
54 - 121,20587,31096252,103668,469760,25272612,512450,528721,90689,62129,2723141
121 - 242,13300,34435036,57870,386518,28148335,491058,479385,116654,73724,3078545
242 - 453,7680,32637666,44186,238712,26889168,388887,294757,115444,56113,2727690
453 - 500,784,4608861,15100,13185,3756186,43800,46323,28070,4343,419669
500 - 1000,2629,21246266,25560,78667,16470462,175746,146457,145873,18197,2154605
1000 以上,696,13903984,16900,67483,9173545,70404,44234,71060,5821,1202525
合 計,170318,199373082,587128,2187486,159231250,3370318,2755684,713389,340111,17290256
