級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,1559,559770,15040,11113,440989,26844,10759,816,1022,33549
0 - 54,2357,1593992,11049,15755,1416557,31070,19923,2041,1353,71430
54 - 121,613,845607,10330,9066,731111,19225,9146,777,669,52827
121 - 242,207,491569,3224,6523,406376,10884,4426,1094,366,46127
242 - 453,50,200028,3532,10346,147431,3339,2334,60,309,24812
453 - 500,3,16617,0,0,14158,4,4,0,0,2276
500 - 1000,3,25855,3,0,23189,289,0,0,0,1751
1000 以上,1,48245,0,0,47006,40,0,0,10,1189
合 計,4793,3781683,43179,52803,3226817,91695,46592,4790,3729,233960
