級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,554823,159415901,1349257,3401605,112943427,9062308,4465062,704470,296203,20853029
0 - 54,424063,275315426,1113483,5630248,219032984,7589291,6467893,1000075,503353,25556209
54 - 121,130703,186534915,587525,3839921,145712142,4295843,4792791,709570,342474,19893954
121 - 242,60601,148855066,446824,2858656,112572670,2926728,3865309,605676,289648,19312960
242 - 453,21705,90369237,239548,1350146,64197027,1518090,2665552,458709,136902,14893316
453 - 500,1762,10529419,15526,219847,7024296,148957,298347,61743,11783,2090472
500 - 1000,5316,42905374,78369,690104,26725230,583131,1102401,224870,29886,9402313
1000 以上,1149,27452442,777159,675257,13817880,249257,512771,234475,7631,5686725
合 計,1200122,941377780,4607690,18665784,702025657,26373606,24170124,3999588,1617882,117688977
