級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,355845,106461289,1150266,2455662,75873483,6427927,2327559,377528,155796,12740314
0 - 54,261583,172731147,1021102,4200003,136516564,4909726,3200772,493040,240891,15907933
54 - 121,73585,104155003,642208,2977937,78414315,2481287,2328919,367397,137247,12305311
121 - 242,29892,72133999,457120,2109827,51057507,1506644,1955414,300735,98974,10958347
242 - 453,10215,42888250,265474,1238564,27873037,778210,1275380,186934,60947,8741097
453 - 500,789,4941060,35816,138610,2997189,72842,146331,32139,3088,1285238
500 - 1000,2376,19388104,124027,783502,10678383,287874,681309,109770,15031,5265924
1000 以上,389,8933405,76474,551180,3972182,79066,236203,25441,1730,2505663
合 計,734674,531632255,3772486,14455285,387382660,16543577,12151887,1892984,713703,69709828
