級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,70942,21897275,197198,379228,17202992,936577,356344,33847,36402,1590462
0 - 54,53816,35171418,138158,642896,29512384,755851,421692,37725,58497,2168009
54 - 121,13241,18997263,67994,414899,15226043,348751,247616,25469,34294,1618546
121 - 242,5185,12650938,44246,291269,9550794,200525,161511,27518,29058,1495883
242 - 453,1616,6726481,26120,153639,4789929,89244,97468,18067,9251,977819
453 - 500,116,723824,5790,6800,477580,9212,11123,403,661,161622
500 - 1000,353,2729146,19588,49011,1745815,25409,32541,5761,3315,525496
1000 以上,52,941305,4591,694,519369,9094,7537,173,134,161420
合 計,145321,99837649,503684,1938436,79024906,2374663,1335833,148963,171612,8699257
