級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,11620,3847446,79705,53383,2955076,230985,59249,7025,4385,220701
0 - 54,11858,7954788,52072,89010,6884382,221827,75222,5944,7299,338358
54 - 121,2698,3717907,18176,40800,3096229,83789,34398,5248,4987,255103
121 - 242,815,2023495,15040,34369,1520912,41498,29578,4196,3128,253431
242 - 453,178,893091,3401,11946,492169,10256,24688,4254,2636,249040
453 - 500,13,73563,198,102,64056,798,22,0,6,4220
500 - 1000,30,230128,4857,17,185038,2608,1539,4,32,29167
1000 以上,4,69902,1,15086,34593,232,78,0,0,6935
合 計,27216,18810320,173452,244713,15232456,591994,224772,26671,22473,1356954
