級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,87221,26140974,292011,544183,20089640,1331745,484482,44210,42400,1811188
0 - 54,58830,37314168,191593,722998,30932266,991389,578540,49644,45158,2209554
54 - 121,11932,16619371,88205,410732,12875277,353332,297873,35278,20960,1483830
121 - 242,3958,9302830,56620,251467,6458692,179848,229461,20139,23429,1203256
242 - 453,949,3877655,52319,129301,2365920,58255,96001,11140,7635,687334
453 - 500,69,397753,6533,9526,244495,3500,6080,2,1762,68390
500 - 1000,176,1332551,22936,8270,669947,15717,39020,11019,353,325510
1000 以上,26,495402,14239,24448,238444,7307,7692,119,221,88697
合 計,163161,95480703,724456,2100924,73874680,2941092,1739149,171551,141918,7877759
