級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,56991,16634026,183028,348689,12065516,906897,364564,27235,24766,1567867
0 - 54,35165,22178998,83591,471221,17891868,588939,365193,30730,30824,1696528
54 - 121,7587,10709911,32783,256072,8010953,244940,207371,24448,16249,1187236
121 - 242,2673,6383364,21883,139890,4322082,133133,138093,35196,10042,1052257
242 - 453,710,3088418,8597,65780,1742386,57541,71326,20567,3800,830980
453 - 500,53,304064,370,10485,160445,10685,8322,3,512,79684
500 - 1000,137,1148702,11712,43781,561166,20673,20343,3300,639,383760
1000 以上,20,312721,1085,8563,141824,5368,7025,0,50,145805
合 計,103336,60760203,343048,1344481,44896239,1968177,1182237,141480,86883,6944117
