級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,307690,96598875,880315,1944645,74097788,4465308,2116812,365121,161213,8503974
0 - 54,240291,158841568,725325,3164171,130600830,3701365,3044387,442754,252489,11753605
54 - 121,67183,97956497,409376,2266995,76287683,2020068,2220097,341906,170454,10349699
121 - 242,29560,73058757,312109,1622880,54503636,1307016,1826129,312559,130804,9241447
242 - 453,10421,43410401,137959,876495,30636798,709922,1115440,232107,58672,6723889
453 - 500,850,5150987,22243,108521,3325268,66559,146690,35122,5872,1040942
500 - 1000,2456,19615324,62090,327145,11826057,288788,373416,106323,13494,4456491
1000 以上,484,10194487,36131,171931,5641162,176480,270074,61161,7736,1792401
合 計,658935,504826897,2585548,10482782,386919223,12735507,11113044,1897053,800733,53862447
