級距：萬元,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
NET= 0,170571,51009462,463963,951073,36480895,2402456,992424,61019,78479,6038452
0 - 54,98056,63113794,273240,1249684,47896503,1757280,1177287,89382,89580,7204752
54 - 121,22886,32949091,134424,734343,22359962,810409,721079,60824,43499,5549821
121 - 242,8881,22419024,100535,444702,13297409,481340,609935,50245,32660,5476619
242 - 453,2836,12078342,87649,188696,6315300,215395,377520,44016,14558,3748564
453 - 500,213,1416667,11567,11086,618934,22429,42284,6206,512,588184
500 - 1000,586,5207209,41282,30265,2084635,69061,131494,26348,2554,2384923
1000 以上,107,3300229,212820,32258,887819,23961,56829,763,118,1773041
合 計,304136,191493819,1325480,3642106,129941457,5782332,4108851,338803,261960,32764356
